gemini_query,gemini_positive matches,gemini_llm only matches,gemini_gt only matches,gemini_correct task inferences,gemini_missed task inferences,gemini_positive matches count,gemini_llm only matches count,gemini_gt only matches count,gemini_correct task inferences count,gemini_missed task inferences count
what are lengths/timings of hurricane seasons in different regions of the world,{'compare'},{'retrieve value'},"{' compare', 'compute derived value'}",[],[],1,2,2,0,0
what is the average storm length,set(),"{'retrieve value', 'summarize'}",{'compute derived value'},[],[],0,1,1,0,0
what is the average time that it takes to go from depression to storm,set(),{'find average'},{'compute derived value'},[],[],0,1,1,0,0
"what is the relationship, if any, between wind and pressure",set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
how does wind change over the course of each hurricane,{'trend'},set(),set(),['trend'],['trend'],1,0,0,1,1
average tropical storm diameter,set(),{'retrieve value'},"{' filter', 'compute derived value'}",[],[],0,2,2,0,0
what is the relationship between storm day and hu_diameter,set(),{'correlate'},{'dependency'},[],[],0,1,1,0,0
are there any repeat names of storms,set(),{'find anomalies'},{'summarize'},[],[],0,1,1,0,0
what month has the strongest hurricanes,{'find extremum'},set(),set(),['find extremum'],['find extremum'],1,0,0,1,1
how has wind speed changed over time,{'trend'},set(),set(),[],[],1,0,0,0,0
what is the maximum pressure of a certain hurricane,{'find extremum'},set(),set(),[],[],1,0,0,0,0
relationship between position and the strength of the hurricane,set(),{'correlation'},"{' filter', 'dependency'}",[],[],0,2,2,0,0
average time for each hurricane status,{'compute derived value'},{'summarize'},"{' compare', 'compute derived value'}",['compute derived value'],['compute derived value'],1,2,2,1,1
which hurricane lasted the longest,set(),{'find extremum'},"{' filter', 'compare'}",[],[],0,2,2,0,0
can you tell me the sales distribution of type 4046 in 2015,set(),{'characterize distribution'},"{' filter', 'distribution'}",[],[],0,2,2,0,0
what are the groups of regions according to three types of avocados sales ratio,{'cluster'},set(),set(),['cluster'],['cluster'],1,0,0,1,1
"using the three types of avocado's sales ratio, provide the groups of regions",{'Cluster'},set(),set(),['cluster'],['cluster'],1,0,0,1,1
provide the distribution of the sales in 2015 of type 4046,set(),{'Characterize Distribution'},"{' filter', 'distribution'}",[],[],0,2,2,0,0
the oldest user was born in what year,{'find extremum'},set(),set(),['find extremum'],['find extremum'],1,0,0,1,1
indicate all the travels taking more than 1000 minutes,set(),{'filter'},{'characterize distribution'},[],[],0,1,1,0,0
"show me a list of the tripe that take longer than 1,000 minutes",set(),{'filter'},{'retrieve value'},[],[],0,1,1,0,0
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,{'characterize distribution'},set(),set(),[],[],1,0,0,0,0
do you know of any trip that would take longer than 1000 minutes,set(),{'filter'},{'characterize distribution'},[],[],0,1,1,0,0
show me a list of neighborhoods with the number of male births from least to most,{'sort'},set(),{'retrieve value'},[],[],1,1,1,0,0
show me the distribution of births across all districts in 2017,set(),{'Characterize Distribution'},"{' filter', 'distribution'}",[],[],0,2,2,0,0
let me know if there are groups of neighborhoods with similar birth gender ratios,set(),{'cluster'},"{' culstering', 'compares'}",[],[],0,2,2,0,0
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,{'retrieve value'},set(),set(),[],[],1,0,0,0,0
which neighborhood in ciutat vella has more than 100 females born in the year 2013,{'filter'},{'find extremum'},"{' filter', 'retrieve value'}",[],[],1,2,2,0,0
"barcelona's districts, please list each",{'retrieve value'},set(),set(),[],[],1,0,0,0,0
what is the distribution of all births in all districts between 2013 and 2017,set(),{'Characterize Distribution'},"{' filter', 'distribution'}",[],[],0,2,2,0,0
what neighborhood had 56 boys born in 2017,{'retrieve value'},set(),set(),['retrieve value'],['retrieve value'],1,0,0,1,1
is there a correlation between acceleration and horsepower,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
how many heavy cars are in the dataset,set(),"{'filter', 'retrieve value'}",{'compute derived value'},[],[],0,1,1,0,0
are there any american 5 cylinder cars,{'filter'},set(),set(),[],[],1,0,0,0,0
how does displacement relate to fuel economy for cars from europe v usa,set(),{'correlation'},"{' filter', 'dependency'}",[],[],0,2,2,0,0
which cylinder cars have the highest fuel economy,set(),"{'find extremum', 'retrieve value'}",{'dependency'},[],[],0,1,1,0,0
which countries have the most cars in this dataset,{'find extremum'},set(),{'compare'},[],[],1,1,1,0,0
which countries have the highest acceleration for cars of different cylinders,set(),"{'comparison', 'find extremum', 'retrieve value'}",{'compare'},[],[],0,1,1,0,0
how do the horsepowers of the cars from different regions change with years,{'Trend'},{'compare'},{'trend'},[],[],1,1,1,0,0
the distribution of the number of cylinders of cars based on different origins,set(),{'characterize distribution'},"{'distribution', ' compare'}",[],[],0,2,2,0,0
what is the correlation between displacement and mpg of cars with different origins,{'correlate'},set(),set(),[],[],1,0,0,0,0
count the number of cars based on their origins,set(),{'Retrieve Value'},{'compare'},[],[],0,1,1,0,0
what is the correlation between horsepower and acceleration,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
is there a correlation between cars' horsepower and acceleration,{'correlate'},set(),set(),[],[],1,0,0,0,0
"how does displacement relate to mpg for individual models, partitioned by country",set(),"{'find pattern', 'compare', 'partition'}",{'dependency'},[],[],0,1,1,0,0
"how does weight relate to acceleration for car models, small multiples by origin",set(),"{'compare', 'correlation', 'trend'}",{'dependency'},[],[],0,1,1,0,0
how does horsepower relate to acceleration for individual car models,{'correlate'},{'compare'},{'correlate'},[],[],1,1,1,0,0
"compare the number of models in usa, japan and europe",set(),{'comparison'},"{' filter', 'compare'}",[],[],0,2,2,0,0
does higher horsepower mean lower acceleration,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
how many cylinders do cars manufactured in different countries have,set(),{'retrieve value'},{'compare'},[],[],0,1,1,0,0
compare car cylinder count against acceleration across countries,set(),{'comparison'},{'compare'},[],[],0,1,1,0,0
how many cars do each country manufacture,set(),{'retrieve value'},{'characterize distribution'},[],[],0,1,1,0,0
what's the mileage for cars based on the number of cylinders present,set(),{'summarize'},{'characterize distribution'},[],[],0,1,1,0,0
does higher cylinder count mean mean lower mileage,set(),"{'compare', 'correlation'}",{'correlate'},[],[],0,1,1,0,0
how does mileage relate to cylinder count,set(),{'correlation'},{'dependency'},[],[],0,1,1,0,0
what is the average mpg for different cylinders,set(),"{'compare', 'summarize'}",{'characterize distribution'},[],[],0,1,1,0,0
what is the relation between horsepower and acceleration,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
how weight varies each year,set(),{'trend'},{'characterize distribution'},[],[],0,1,1,0,0
how is acceleration related to horsepower,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
how has horsepower changed over time by country,{'trend'},set(),set(),['trend'],['trend'],1,0,0,1,1
have cars gotten lighter over time,{'trend'},set(),set(),[],[],1,0,0,0,0
how many models are proudced by each country,set(),{'count'},{'Characterize Distribution'},[],[],0,1,1,0,0
what is the average weight of cars over time,{'trend'},{'average'},{'trend'},[],[],1,1,1,0,0
what is the distribution of weight across all cars,set(),{'characterize distribution'},{'Characterize Distribution'},[],[],0,1,1,0,0
how much do various cars weigh,set(),{'retrieve value'},{'Characterize Distribution'},[],[],0,1,1,0,0
what is the range of weights for all cars,set(),{'determine range'},{'Determine Range'},[],[],0,1,1,0,0
where do the cars originate from,set(),{'retrieve value'},{'Characterize Distribution'},[],[],0,1,1,0,0
how has avg (horsepower) evolved over time | segregate it by the car origin,"{'trend', 'compare'}",set(),{'trend'},[],[],2,1,1,0,0
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,{'compare'},"{'filter', 'retrieve value'}",{'compare'},[],[],1,1,1,0,0
how does avg (weight) evolve over the years,{'trend'},set(),set(),['trend'],['trend'],1,0,0,1,1
how does the acceleration of cars from different countries vary by the number of cylinders,set(),"{'trend', 'correlation'}",{'compare'},[],[],0,1,1,0,0
how does acceleration vary by weight for cars from different regions,set(),"{'trend', 'correlate'}",{'dependency'},[],[],0,1,1,0,0
what is the average mpg for cars with different cylinders,set(),"{'compare', 'summarize'}",{'dependency'},[],[],0,1,1,0,0
how does mpg vary by the number of cylinders in a car,set(),"{'compare', 'correlation'}",{'Characterize Distribution'},[],[],0,1,1,0,0
how does acceleration change with horsepower,set(),{'find extremum'},{'correlate'},[],[],0,1,1,0,0
how does acceleration behave compared to horsepower,set(),{'compare'},{'correlate'},[],[],0,1,1,0,0
how many cars are from each region,set(),"{'retrieve value', 'summarize'}",{'characterize distribution'},[],[],0,1,1,0,0
"how does mpg compare to displacement, broken out by region",{'compare'},set(),set(),[],[],1,0,0,0,0
"for each region, how does a car's mpg vary with displacement",set(),{'find extremum'},{'compare'},[],[],0,1,1,0,0
how has horsepower changed over time in each region,{'trend'},{'comparison'},"{'trend', ' compare'}",[],[],1,2,2,0,0
what is the breakdown of cars by the number of cylinders in each region,set(),{'summarize'},{'characterize distribution'},[],[],0,1,1,0,0
how many cars have various numbers of cylinders in each region,set(),"{'retrieve value', 'summarize'}",{'compute derived value'},[],[],0,1,1,0,0
what is the average weight of cars by model year,set(),"{'retrieve value', 'summarize'}",{'characterize distribution'},[],[],0,1,1,0,0
how has the average weight of cars changed over the years,{'trend'},set(),set(),[],[],1,0,0,0,0
how can the population of ashley be illustrated to show distribution across five years,set(),{'characterize distribution'},"{' filter', 'distribution'}",[],[],0,2,2,0,0
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",{'filter'},set(),{'dependency'},[],[],1,1,1,0,0
give me the average population rating for ashley in the year 2000,set(),{'retrieve value'},{'summarize'},[],[],0,1,1,0,0
identify the county that has the least population each year,{'find extremum'},{'sort'},{'find extremum'},[],[],1,1,1,0,0
what is the average population in 2000,set(),{'retrieve value'},{'summarize'},[],[],0,1,1,0,0
is there a regional concentration trend in gdp development,set(),{'trend'},{'Trend'},[],[],0,1,1,0,0
how are gdp and mteu correlated,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
is there an outlier within the value distribution of albinism that causes the result to be skewed,set(),{'find anomalies'},{'Find Anomalies'},[],[],0,1,1,0,0
"find all the types of genetic diseases with greater than 1,000 patients",set(),{'filter'},{'retrieve value'},[],[],0,1,1,0,0
tell me the maximum and minimum number of patients with autism across all regions,set(),{'find extremum'},{' Find Extremum'},[],[],0,1,1,0,0
what is the spatial and temporal correlation of albinism,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
does this data represent outliers in the number of patients,{'find anomalies'},set(),set(),[],[],1,0,0,0,0
take out the regions with a number of patients larger than 500,{'filter'},set(),{'compute derived value'},[],[],1,1,1,0,0
"looking at the number of people in all regions with a visual impairment, what is the median",set(),"{'find extremum', 'summarize'}",{'characterize distribution'},[],[],0,1,1,0,0
does the value distribution of albinism look skewed,{'characterize distribution'},set(),set(),['characterize distribution'],['characterize distribution'],1,0,0,1,1
is there an obvious clustering,set(),{'find pattern'},{'cluster'},[],[],0,1,1,0,0
kindly rate the regions on the basis of the number of patients,{'sort'},{'compare'},"{'sort', ' summarize'}",['sort'],['sort'],1,2,2,1,1
give me the movie that received the most nominations,{'find extremum'},set(),set(),['find extremum'],['find extremum'],1,0,0,1,1
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",set(),{'find anomalies'},{''},[],[],0,1,1,0,0
can you organize the results of the table by sorting the list according to the age of the stars,{'sort'},set(),set(),[],[],1,0,0,0,0
can you list all the results in the table about the movie ' about  ',set(),{'retrieve value'},{'filter'},[],[],0,1,1,0,0
what was the gender of all actors among all the final winners in the 60th ceremony,set(),{'retrieve value'},"{'characterize distribution', ' filter'}",[],[],0,2,2,0,0
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,{'retrieve value'},set(),set(),[],[],1,0,0,0,0
can you list all the results in the table about the movie ' about schmidt ',set(),{'retrieve value'},{'filter'},[],[],0,1,1,0,0
i would like to review the dispersement of the amount of nominations,{'Characterize Distribution'},set(),set(),[],[],1,0,0,0,0
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",{'retrieve value'},set(),set(),['retrieve value'],['retrieve value'],1,0,0,1,1
which actor was nominated for the most awards,set(),{'find extremum'},{'retrieve value'},[],[],0,1,1,0,0
can the actors nationality impact the outcome,set(),{'correlation'},{'dependency'},[],[],0,1,1,0,0
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,{'retrieve value'},set(),set(),['retrieve value'],['retrieve value'],1,0,0,1,1
what is the total number of movies released in the year 1998,set(),{'retrieve value'},"{' filter', 'summarize'}",[],[],0,2,2,0,0
can you tell me what movie won best original score in a motion picture in 1997,{'retrieve value'},set(),set(),['retrieve value'],['retrieve value'],1,0,0,1,1
what is the correlation between the nomination and the age of a star,{'correlate'},set(),set(),[],[],1,0,0,0,0
tell me the distribution for the book ratings,{'characterize distribution'},set(),set(),[],[],1,0,0,0,0
can you rearrange the table by book rating in descending order,{'sort'},set(),set(),[],[],1,0,0,0,0
what books have low ratings that seem suspect,{'filter'},{'find anomalies'},{'filter'},['filter'],['filter'],1,1,1,1,1
tell me the book ratings distribution,{'characterize distribution'},set(),set(),[],[],1,0,0,0,0
which author has worked with dark horse comics most frequently,{'find extremum'},set(),set(),['find extremum'],['find extremum'],1,0,0,1,1
please go and get all of the books written in english,{'filter'},{'retrieve value'},{'filter'},[],[],1,1,1,0,0
are there outliers in the book ratings,set(),{'find anomalies'},{'Find Anomalies'},[],[],0,1,1,0,0
"of fiction books, which are written in english",{'filter'},set(),{'retrieve value'},[],[],1,1,1,0,0
please review this dataset and tell me which authors it includes,{'retrieve value'},set(),set(),[],[],1,0,0,0,0
how many books have been released by dark horse comics,set(),{'Retrieve Value'},{'filter'},[],[],0,1,1,0,0
what is the most expensive book and who published it,{'find extremum'},{'retrieve value'},{'find extremum'},['find extremum'],['find extremum'],1,1,1,1,1
show a list of similarly rated books,{'similarity'},{'summarize'},{'similarity'},[],[],1,1,1,0,0
produce a list of book titles published during the current year,{'retrieve value'},{'filter'},{'retrieve value'},[],[],1,1,1,0,0
dark horse comic has how many books,{'retrieve value'},set(),set(),[],[],1,0,0,0,0
what is the total number of categories,set(),{'retrieve value'},{'summarize'},[],[],0,1,1,0,0
can you tell me the total number of categories,{'summarize'},set(),set(),['summarize'],['summarize'],1,0,0,1,1
what's the size of ' kids paint free- drawing fun ',{'retrieve value'},set(),set(),['retrieve value'],['retrieve value'],1,0,0,1,1
does a app exist that is much different than the others,set(),{'find anomalies'},{'Find Anomalies'},['find anomalies'],['find anomalies'],0,1,1,1,1
what is the total amount of genres,set(),{'count'},{'summarize'},[],[],0,1,1,0,0
what is the title of the biggest app,set(),{'retrieve value'},{'find extremum'},[],[],0,1,1,0,0
what apps have a perfect rating and a lot of reviews,{'filter'},set(),set(),[],[],1,0,0,0,0
see if you can locate the most recent gaming app,{'find extremum'},{'retrieve value'},"{' filter', 'find extremum'}",[],[],1,2,2,0,0
tell me free or paid apps have a higher mean rating,set(),{'comparison'},{'filter'},[],[],0,1,1,0,0
which genres are included in the dataset,set(),{'retrieve value'},{'summarize'},[],[],0,1,1,0,0
which apps have support for versions of android lower than 40,{'filter'},set(),{'retrieve value'},[],[],1,1,1,0,0
describe shape of the distribution for the number of installations,{'Characterize Distribution'},set(),set(),[],[],1,0,0,0,0
show me the app that costs the most,{'find extremum'},set(),set(),[],[],1,0,0,0,0
is there a relationship between the android version of an app and its installations,set(),{'correlation'},{'dependency'},[],[],0,1,1,0,0
show me the most recent version of androids ' discover color ',set(),{'retrieve value'},{'find extremum'},[],[],0,1,1,0,0
"when taking different android versions into account, does that have any impact on installation",set(),{'correlation'},{'dependency'},[],[],0,1,1,0,0
give me a list of all the free business apps that have received rating that were higher than a 45,"{'filter', 'retrieve value'}",set(),{'retrieve value'},['retrieve value'],['retrieve value'],2,1,1,1,1
can you tell me the attribute 'rating ' be affected 'installation,set(),{'determine range'},{'characterize distribution'},[],[],0,1,1,0,0
what's the price distribution in beauty apps,{'characterize distribution'},set(),set(),['characterize distribution'],['characterize distribution'],1,0,0,1,1
"which app has a rating that doesn 't follow a trend between installations, rating and number of reviews",{'find anomalies'},set(),set(),['find anomalies'],['find anomalies'],1,0,0,1,1
what is the app with the most abnormal pattern,{'find anomalies'},set(),set(),[],[],1,0,0,0,0
are there an unusually high number of reviews for any of the apps,{'find anomalies'},set(),set(),['find anomalies'],['find anomalies'],1,0,0,1,1
what is the distribution of the number based on shape of installations,{'Characterize Distribution'},set(),set(),[],[],1,0,0,0,0
is there an effect on price caused by the app's genre,set(),{'correlation'},{'dependency'},[],[],0,1,1,0,0
is there a correlation between apps with more installations and higher ratings,{'correlate'},set(),set(),[],[],1,0,0,0,0
"tell me the most pricey apps by release date, recent to oldest",{'sort'},{'retrieve value'},{'sort'},[],[],1,1,1,0,0
find out any app that is distinctive from the rest,{'find anomalies'},set(),set(),['find anomalies'],['find anomalies'],1,0,0,1,1
list the top 10 gaming apps sorted from highest to lowest installations,{'sort'},set(),set(),[],[],1,0,0,0,0
can you tell me the price distribution of all the beauty apps,{'Characterize Distribution'},set(),set(),[],[],1,0,0,0,0
name any apps that can support any version of android lower than 40,{'retrieve value'},set(),set(),['retrieve value'],['retrieve value'],1,0,0,1,1
what differences are there among the students who acquired more than 270 points between 2010-2019,{'compare'},set(),set(),['compare'],['compare'],1,0,0,1,1
tell me all of the categories of grade types,set(),{'characterize distribution'},{'summarize'},[],[],0,1,1,0,0
use the midterm exam and final exam as the 2nd and 1st keywords respectively in order to assign a rank to every one of the students,set(),{'rank'},{'sort'},[],[],0,1,1,0,0
what did the majority of students receive as a grade,set(),{'find extremum'},{'characterize distribution'},[],[],0,1,1,0,0
use the final exam as the first keyword and midterm exam as the second keyword to rank all the students,set(),{'rank'},{'sort'},[],[],0,1,1,0,0
"show me the scope, among all the students, of the cw2 score",set(),"{'summarize', 'determine range'}",{'characterize distribution'},[],[],0,1,1,0,0
"in cw1, how many students achieved the feat of 100%, or full marks",set(),{'count'},{'filter'},[],[],0,1,1,0,0
rank the grades from highest to lowest according to the average score,{'sort'},set(),set(),[],[],1,0,0,0,0
can you tell me the median score of the cw1 class,set(),{'retrieve value'},{'compute derived value '},[],[],0,1,1,0,0
do you know the median score of all students in cw1,set(),{'retrieve value'},{'compute derived value '},[],[],0,1,1,0,0
how many students received an a,set(),{'retrieve value'},{'filter'},[],[],0,1,1,0,0
select all cw1 scores not less than 80%,{'filter'},set(),set(),['filter'],['filter'],1,0,0,1,1
arrange the students by grade and furnish me with a list,{'sort'},set(),set(),[],[],1,0,0,0,0
was the same midterm exam given to velma paul and glynis caine,set(),{'comparison'},{'retrieve value'},[],[],0,1,1,0,0
what is the relationship between level of education and crime rate,set(),{'correlate'},{'dependency'},[],[],0,1,1,0,0
are there any visible trends in violent crime rates over the time period,{'trend'},set(),set(),[],[],1,0,0,0,0
what is the most frequent place of violent crime,set(),{'find extremum'},{'characterize distribution'},[],[],0,1,1,0,0
are there any correlations between crime types and geographic location,{'Correlate'},set(),set(),[],[],1,0,0,0,0
what is the distribution for non-violent crimes based on age,{'characterize distribution'},set(),set(),[],[],1,0,0,0,0
are there any correlations in violent or non-violent crimes based on congressional district and year,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
is there a somewhat even distribution between the year and congressional district,set(),"{'summarize', 'determine range'}",{'characterize distribution'},[],[],0,1,1,0,0
what city has the highest crime rate,set(),{'find extremum'},{'compare'},[],[],0,1,1,0,0
what’s the frequency of gun violence incidents with multiple victims,set(),"{'summarize', 'count'}",{'characterize distribution'},[],[],0,1,1,0,0
how many gun violence incidents are there each year,set(),{'retrieve value'},{'characterize distribution'},[],[],0,1,1,0,0
are there any significant correlations between any 2 variables in the dataset,set(),{'correlation'},{'correlate'},[],[],0,1,1,0,0
how many incidents of gun violence result in death (ie what proportion are fatal vs non-fatal),{'summarize'},"{'compare', 'retrieve value'}",{'summarize'},[],[],1,1,1,0,0
what鈥檚 the frequency of gun violence incidents with multiple victims,set(),"{'summarize', 'count'}",{'characterize distribution'},[],[],0,1,1,0,0
are males or females more likely to die of gun violence,set(),{'comparison'},{'compare'},[],[],0,1,1,0,0
is one sex more likely to perpetrate gun violence,{'compare'},set(),set(),[],[],1,0,0,0,0
is more gun violence committed with stolen guns or non stolen guns,{'compare'},set(),set(),['compare'],['compare'],1,0,0,1,1
how have homicide rates increased over time,{'trend'},set(),set(),[],[],1,0,0,0,0
what type of gun violence has seen the most growth over the years,{'trend'},{'find extremum'},"{'compare', ' trend'}",[],[],1,2,2,0,0
are most gun death because of suicide,{'compare'},{'determine range'},"{' filter', 'compare'}",['compare'],['compare'],1,2,2,1,1
did most gun violence happen inside home,set(),"{'find extremum', 'retrieve value'}","{' filter', 'compare'}",[],[],0,2,2,0,0
what is the correlation between education levels and suicide rates,set(),{'correlation'},"{' filter', 'correlate'}",[],[],0,2,2,0,0
which state/year has the most gun deaths,set(),{'find extremum'},{'compare'},[],[],0,1,1,0,0
"according to population, what is the rank of each of region",set(),{'rank'},{'sort'},[],[],0,1,1,0,0
what is the number of hospitals located in manyara,{'retrieve value'},set(),set(),[],[],1,0,0,0,0
which 10 regions have the most health centers,{'find extremum'},"{'sort', 'retrieve value'}",{'find extremum'},['find extremum'],['find extremum'],1,1,1,1,1
look up regions that names start with the letter a,{'filter'},set(),set(),[],[],1,0,0,0,0
make a list of the number of total hfs in descending order,{'sort'},set(),set(),[],[],1,0,0,0,0
what is the average count of hospitals,set(),{'compute derived value'},{'characterize distribution'},[],[],0,1,1,0,0
what is the number of clinics that are in mara,set(),{'retrieve value'},"{' filter', 'Filter'}",[],[],0,2,2,0,0
what's the distribution of the entire hfs,{'characterize distribution'},set(),set(),[],[],1,0,0,0,0
which region has the lowest population ratio of hf,{'find extremum'},set(),set(),['find extremum'],['find extremum'],1,0,0,1,1
enter the regions from this table,{'retrieve value'},set(),set(),[],[],1,0,0,0,0
look for the region that has the most people living in it,{'find extremum'},set(),set(),['find extremum'],['find extremum'],1,0,0,1,1
remove any regions with a population ratio of hf lower than 15,{'filter'},set(),set(),[],[],1,0,0,0,0
the population range needs to be discovered,{'determine range'},set(),set(),[],[],1,0,0,0,0
do any regions have their population ratio over 20 hf,{'filter'},{'find extremum'},{'filter'},['filter'],['filter'],1,1,1,1,1
"when the score difference is more than 5, please list the extreme matches to this",{'filter'},{'retrieve value'},"{'filter', ' find extremum'}",[],[],1,2,2,0,0
please indicate the friendly tournament matches in which the home team beat the away team,{'filter'},{'retrieve value'},{'filter'},[],[],1,1,1,0,0
tell me all the tournament matches that the home team won against the away team,{'filter'},{'retrieve value'},{'filter'},['filter'],['filter'],1,1,1,1,1
which group of nations won the most games,set(),{'find extremum'},{'compare'},[],[],0,1,1,0,0
"based on the number of matches, can you tell me what the distribution of cities is",{'characterize distribution'},{'summarize'},{'characterize distribution'},[],[],1,1,1,0,0
what group of nations of have the most games,{'find extremum'},{'retrieve value'},{'find extremum'},['find extremum'],['find extremum'],1,1,1,1,1
what countries have won a similar number of games,set(),{'comparison'},{'cluster'},[],[],0,1,1,0,0
do you know which videos have more than 100 tags,{'filter'},set(),set(),[],[],1,0,0,0,0
"in the videos by ' eminemvevo ', what are the average number of comments made",set(),"{'retrieve value', 'compute derived value'}",{'summarize'},[],[],0,1,1,0,0
filter all the videos published before yesterday,{'filter'},set(),set(),[],[],1,0,0,0,0
which videos are missing thumbnail links,set(),{'retrieve value'},{'filter'},[],[],0,1,1,0,0
' plush- bad unboxing fan mail ' belongs to which specific channel,{'filter'},set(),{'retrieve value'},[],[],1,1,1,0,0
which video has the most tags,{'find extremum'},set(),set(),['find extremum'],['find extremum'],1,0,0,1,1
